,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
2377,104.365,0.0016302266748167073,0.1700000000000017,1,1,1,1,2,3,0.1700000000000017,1,0.1700000000000017,42.478485370051686
2378,104.485,0.001149150234191786,0.12000000000000455,1,2,1,1,1,2,0.12000000000000455,1,0.12000000000000455,47.59102611254126
2379,103.17299999999999,-0.01263632952212728,-1.3120000000000118,-1,2,2,1,1,1,1.3120000000000118,0,-0.0,38.157503714710174
2380,102.241,-0.009074419420873902,-0.931999999999988,-1,0,2,2,1,1,0.931999999999988,0,-0.0,36.307083274423924
2381,102.619,0.0036903292881344096,0.3780000000000001,1,0,0,2,2,1,0.3780000000000001,1,0.3780000000000001,36.40598531902882
2382,102.85799999999999,0.0023262954762043745,0.2389999999999901,1,2,0,0,2,2,0.2389999999999901,1,0.2389999999999901,36.76305446378434
2383,102.204,-0.006378580306454812,-0.6539999999999964,-1,2,2,0,0,2,0.6539999999999964,0,-0.0,33.23411414520508
2384,102.73700000000001,0.005201508743718162,0.5330000000000155,1,0,2,2,0,0,0.5330000000000155,1,0.5330000000000155,41.16553829815488
2385,102.15299999999999,-0.005700635282655464,-0.5840000000000174,-1,2,0,2,2,0,0.5840000000000174,0,-0.0,44.36972385176705
2386,100.985,-0.01149969844765517,-1.1679999999999922,-1,1,2,0,2,2,1.1679999999999922,0,-0.0,26.586322056047766
2387,101.65299999999999,0.006593061713426643,0.6679999999999922,1,0,1,2,0,2,0.6679999999999922,1,0.6679999999999922,29.42490228922389
2388,101.374,-0.0027484046518359475,-0.27899999999999636,-1,3,0,1,2,0,0.27899999999999636,0,-0.0,29.474272930648766
2389,102.124,0.007371113188618822,0.75,1,1,3,0,1,2,0.75,1,0.75,36.34282807731431
2390,102.257,0.0013014910267964259,0.13300000000000978,1,3,1,3,0,1,0.13300000000000978,1,0.13300000000000978,37.765151515151615
2391,102.179,-0.0007630750336031576,-0.07800000000000296,-1,2,3,1,3,0,0.07800000000000296,0,-0.0,36.037301992846274
2392,102.609,0.004199470984047778,0.4299999999999926,1,1,2,3,1,3,0.4299999999999926,1,0.4299999999999926,38.473826492995805
2393,102.48700000000001,-0.0011896869211435537,-0.12199999999998568,-1,2,1,2,3,1,0.12199999999998568,0,-0.0,45.06332757628109
2394,102.20700000000001,-0.002735792691918144,-0.28000000000000114,-1,1,2,1,2,3,0.28000000000000114,0,-0.0,49.72998729351976
2395,101.795,-0.004039181578099861,-0.41200000000000614,-1,1,1,2,1,2,0.41200000000000614,0,-0.0,43.491311216429715
2396,101.931,0.0013351267899274378,0.13599999999999568,1,1,1,1,2,1,0.13599999999999568,1,0.13599999999999568,42.55660831861256
2397,102.34200000000001,0.004024032100223156,0.4110000000000156,1,2,1,1,1,2,0.4110000000000156,1,0.4110000000000156,51.15307486631032
2398,102.23700000000001,-0.0010264984110771316,-0.10500000000000398,-1,2,2,1,1,1,0.10500000000000398,0,-0.0,45.500359971202315
2399,102.287,0.0004889401830210249,0.04999999999999716,1,1,2,2,1,1,0.04999999999999716,1,0.04999999999999716,51.334129828753625
2400,102.552,0.0025873993510987614,0.26500000000000057,1,2,1,2,2,1,0.26500000000000057,1,0.26500000000000057,69.02160718621033
2401,102.447,-0.0010243953305345342,-0.10500000000000398,-1,2,2,1,2,2,0.10500000000000398,0,-0.0,61.1642294713162
